날짜,누적확진자수
2021-01-31,78197
2021-02-28,89664
2021-03-31,103079
2021-04-30,122006
2021-05-31,140337
2021-06-30,156960
2021-07-31,198334
2021-08-31,251413
2021-09-30,311276
2021-10-31,364697
2021-11-30,447222
2021-12-31,630828
2022-01-31,845688
2022-02-28,1962822
